model,min,T,A
A_T1_C,0.03,31.72,0.0345
A_T1_C,0.02,31.76,0.0345
A_T1_C,0.02,31.82,0.0345
A_T1_C,0.03,31.87,0.0345
A_T1_C,0.02,31.92,0.0345
A_T1_C,0.03,31.98,0.0345
A_T1_C,0.02,32.03,0.0345
A_T1_C,0.01,32.08,0.0345
A_T1_C,0.04,32.13,0.0345
A_T1_C,0.01,32.19,0.0345
A_T1_C,0.04,32.24,0.0345
A_T1_C,0.01,32.31,0.0345
A_T1_C,0.04,32.35,0.0345
A_T1_C,0.01,32.41,0.0345
A_T1_C,0.02,32.45,0.0345
A_T1_C,0.03,32.51,0.0345
A_T1_C,0.02,32.57,0.0345
A_T1_C,0.03,32.62,0.0345
A_T1_C,0.02,32.68,0.0345
A_T1_C,0.03,32.73,0.0345
A_T1_C,0.02,32.79,0.0345
A_T1_C,0.02,32.84,0.0345
A_T1_C,0.03,32.9,0.0345
A_T1_C,0.02,32.96,0.0345
A_T1_C,0.03,33.01,0.0345
A_T1_C,0.02,33.06,0.0345
A_T1_C,0.01,33.1,0.0345
A_T1_C,0.04,33.17,0.0345
A_T1_C,0.01,33.23,0.0345
A_T1_C,0.04,33.29,0.0345
A_T1_C,0.01,33.34,0.0345
A_T1_C,0.04,33.4,0.0345
A_T1_C,0.01,33.45,0.0345
A_T1_C,0.02,33.52,0.0345
A_T1_C,0.03,33.57,0.0345
A_T1_C,0.02,33.63,0.0345
A_T1_C,0.03,33.69,0.0345
A_T1_C,0.02,33.73,0.0345
A_T1_C,0.02,33.81,0.0345
A_T1_C,0.03,33.87,0.0345
A_T1_C,0.02,33.93,0.0345
A_T1_C,0.03,33.99,0.0345
A_T1_C,0.02,34.04,0.0345
A_T1_C,0.01,34.09,0.0345
A_T1_C,0.04,34.14,0.0345
A_T1_C,0.01,34.23,0.0345
A_T1_C,0.04,34.27,0.0345
A_T1_C,0.01,34.33,0.0345
A_T1_C,0.02,34.37,0.0345
A_T1_C,0.03,34.42,0.0345
A_T1_C,0.02,34.48,0.0345
A_T1_C,0.03,34.55,0.0345
A_T1_C,0.02,34.6,0.0345
A_T1_C,0.02,34.66,0.0345
A_T1_C,0.03,34.72,0.0345
A_T1_C,0.02,34.77,0.0345
A_T1_C,0.03,34.84,0.0345
A_T1_C,0.02,34.91,0.0345
A_T1_C,0.03,34.96,0.0345
A_T1_C,0.02,35.02,0.0345
A_T1_C,0.01,35.09,0.0345
A_T1_C,0.04,35.14,0.0345
A_T1_C,0.01,35.19,0.0345
A_T1_C,0.04,35.26,0.0345
A_T1_C,0.01,35.32,0.0345
A_T1_C,0.04,35.37,0.0345
A_T1_C,0.01,35.45,0.0345
A_T1_C,0.02,35.5,0.0345
A_T1_C,0.03,35.54,0.0345
A_T1_C,0.02,35.61,0.0345
A_T1_C,0.03,35.7,0.0345
A_T1_C,0.02,35.73,0.0345
A_T1_C,0.03,35.79,0.0345
A_T1_C,0.02,35.86,0.0345
A_T1_C,0.02,35.91,0.0345
A_T1_C,0.03,35.98,0.0345
A_T1_C,0.02,36.03,0.0345
A_T1_C,0.03,36.09,0.0345
A_T1_C,0.02,36.16,0.0345
A_T1_C,0.03,36.22,0.0345
A_T1_C,0.02,36.29,0.0345
A_T1_C,0.01,36.35,0.0345
A_T1_C,0.04,36.4,0.0345
A_T1_C,0.01,36.48,0.0345
A_T1_C,0.04,36.52,0.0345
A_T1_C,0.01,36.58,0.0345
A_T1_C,0.04,36.65,0.0345
A_T1_C,0.01,36.7,0.0345
A_T1_C,0.02,36.77,0.0345
A_T1_C,0.03,36.82,0.0345
A_T1_C,0.02,36.87,0.0345
A_T1_C,0.03,36.95,0.0345
A_T1_C,0.02,37,0.0345
A_T1_C,0.02,37.07,0.0345
A_T1_C,0.03,37.13,0.0345
A_T1_C,0.02,37.19,0.0345
A_T1_C,0.03,37.24,0.0345
A_T1_C,0.02,37.31,0.0345
A_T1_C,0.03,37.35,0.0345
A_T1_C,0.02,37.43,0.0345
A_T1_C,0.01,37.5,0.0345
A_T1_C,0.04,37.56,0.0345
A_T1_C,0.01,37.62,0.0345
A_T1_C,0.04,37.67,0.0345
A_T1_C,0.01,37.75,0.0345
A_T1_C,0.04,37.81,0.0345
A_T1_C,0.01,37.86,0.0345
A_T1_C,0.02,37.92,0.0345
A_T1_C,0.03,37.98,0.0345
A_T1_C,0.02,38.04,0.0345
A_T1_C,0.03,38.11,0.0345
A_T1_C,0.02,38.16,0.0345
A_T1_C,0.03,38.23,0.0345
A_T1_C,0.02,38.28,0.0345
A_T1_C,0.02,38.35,0.0345
A_T1_C,0.03,38.4,0.0345
A_T1_C,0.02,38.46,0.0345
A_T1_C,0.03,38.53,0.0345
A_T1_C,0.02,38.59,0.0345
A_T1_C,0.03,38.66,0.0345
A_T1_C,0.02,38.73,0.0345
A_T1_C,0.01,38.77,0.0345
A_T1_C,0.04,38.84,0.0345
A_T1_C,0.01,38.91,0.0345
A_T1_C,0.04,38.96,0.0345
A_T1_C,0.01,39.01,0.0345
A_T1_C,0.04,39.08,0.0345
A_T1_C,0.01,39.15,0.0345
A_T1_C,0.02,39.2,0.0345
A_T1_C,0.03,39.25,0.0345
A_T1_C,0.02,39.32,0.0345
A_T1_C,0.03,39.38,0.0345
A_T1_C,0.02,39.43,0.0345
A_T1_C,0.02,39.48,0.0345
A_T1_C,0.03,39.54,0.0345
A_T1_C,0.02,39.61,0.0345
A_T1_C,0.03,39.65,0.0345
A_T1_C,0.02,39.73,0.0345
A_T1_C,0.01,39.79,0.0345
A_T1_C,0.04,39.84,0.0345
A_T1_C,0.01,39.9,0.0345
A_T1_C,0.04,39.96,0.0345
A_T1_C,0.01,40.02,0.0345
A_T1_C,0.04,40.08,0.0345
A_T1_C,0.01,40.14,0.0345
A_T1_C,0.02,40.2,0.0345
A_T1_C,0.03,40.25,0.0345
A_T1_C,0.02,40.32,0.0345
A_T1_C,0.03,40.37,0.0345
A_T1_C,0.02,40.43,0.0345
A_T1_C,0.02,40.49,0.0345
A_T1_C,0.03,40.55,0.0345
A_T1_C,0.02,40.61,0.0345
A_T1_C,0.03,40.67,0.0345
A_T1_C,0.02,40.73,0.0345
A_T1_C,0.03,40.77,0.0345
A_T1_C,0.02,40.85,0.0345
A_T1_C,0.01,40.89,0.0345
A_T1_C,0.04,40.94,0.0345
A_T1_C,0.01,41.01,0.0345
A_T1_C,0.04,41.06,0.0345
A_T1_C,0.01,41.12,0.0345
A_T1_C,0.02,41.18,0.0345
A_T1_C,0.03,41.24,0.0345
A_T1_C,0.02,41.29,0.0345
A_T1_C,0.03,41.36,0.0345
A_T1_C,0.02,41.41,0.0345
A_T1_C,0.02,41.47,0.0345
A_T1_C,0.03,41.53,0.0345
A_T1_C,0.02,41.58,0.0345
A_T1_C,0.03,41.65,0.0345
A_T1_C,0.02,41.71,0.0345
A_T1_C,0.03,41.75,0.0345
A_T1_C,0.02,41.81,0.0345
A_T1_C,0.01,41.87,0.0345
A_T1_C,0.04,41.91,0.0345
A_T1_C,0.01,41.97,0.0345
A_T1_C,0.04,42.05,0.0345
A_T1_C,0.01,42.08,0.0345
A_T1_C,0.04,42.15,0.0345
A_T1_C,0.01,42.2,0.0345
A_T1_C,0.02,42.25,0.0345
A_T1_C,0.03,42.32,0.0345
A_T1_C,0.02,42.37,0.0345
A_T1_C,0.03,42.44,0.0345
A_T1_C,0.02,42.48,0.0345
A_T1_C,0.02,42.54,0.0345
A_T1_C,0.03,42.59,0.0345
A_T1_C,0.02,42.66,0.0345
A_T1_C,0.03,42.72,0.0345
A_T1_C,0.02,42.78,0.0345
A_T1_C,0.03,42.82,0.0345
A_T1_C,0.02,42.89,0.0345
A_T1_C,0.01,42.94,0.0345
A_T1_C,0.04,43,0.0345
A_T1_C,0.01,43.05,0.0345
A_T1_C,0.04,43.11,0.0345
A_T1_C,0.01,43.16,0.0345
A_T1_C,0.02,43.21,0.0345
A_T1_C,0.03,43.27,0.0345
A_T1_C,0.02,43.33,0.0345
A_T1_C,0.03,43.38,0.0345
A_T1_C,0.02,43.44,0.0345
A_T1_C,0.03,43.5,0.0345
A_T1_C,0.02,43.56,0.0345
A_T1_C,0.02,43.6,0.0345
A_T1_C,0.03,43.66,0.0345
A_T1_C,0.02,43.72,0.0345
A_T1_C,0.03,43.78,0.0345
A_T1_C,0.02,43.83,0.0345
A_T1_C,0.03,43.88,0.0345
A_T1_C,0.02,43.94,0.0345
A_T1_C,0.01,44,0.0345
A_T1_C,0.04,44.05,0.0345
A_T1_C,0.01,44.11,0.0345
