model,min,T,A
A_T1_C,0.02,56.59,0.0345
A_T1_C,0.03,56.63,0.0345
A_T1_C,0.02,56.64,0.0345
A_T1_C,0.03,56.67,0.0345
A_T1_C,0.02,56.7,0.0345
A_T1_C,0.01,56.73,0.0345
A_T1_C,0.04,56.75,0.0345
A_T1_C,0.01,56.78,0.0345
A_T1_C,0.04,56.81,0.0345
A_T1_C,0.01,56.83,0.0345
A_T1_C,0.04,56.86,0.0345
A_T1_C,0.01,56.88,0.0345
A_T1_C,0.02,56.9,0.0345
A_T1_C,0.03,56.94,0.0345
A_T1_C,0.02,56.95,0.0345
A_T1_C,0.03,56.98,0.0345
A_T1_C,0.02,57.02,0.0345
A_T1_C,0.03,57.05,0.0345
A_T1_C,0.02,57.07,0.0345
A_T1_C,0.02,57.1,0.0345
A_T1_C,0.03,57.13,0.0345
A_T1_C,0.02,57.15,0.0345
A_T1_C,0.03,57.17,0.0345
A_T1_C,0.02,57.21,0.0345
A_T1_C,0.03,57.22,0.0345
A_T1_C,0.02,57.25,0.0345
A_T1_C,0.01,57.3,0.0345
A_T1_C,0.04,57.31,0.0345
A_T1_C,0.01,57.33,0.0345
A_T1_C,0.04,57.35,0.0345
A_T1_C,0.01,57.38,0.0345
A_T1_C,0.04,57.42,0.0345
A_T1_C,0.01,57.44,0.0345
A_T1_C,0.04,57.46,0.0345
A_T1_C,0.01,57.49,0.0345
A_T1_C,0.02,57.51,0.0345
A_T1_C,0.03,57.54,0.0345
A_T1_C,0.02,57.56,0.0345
A_T1_C,0.03,57.59,0.0345
A_T1_C,0.02,57.61,0.0345
A_T1_C,0.03,57.63,0.0345
A_T1_C,0.02,57.66,0.0345
A_T1_C,0.02,57.68,0.0345
A_T1_C,0.03,57.69,0.0345
A_T1_C,0.02,57.73,0.0345
A_T1_C,0.03,57.75,0.0345
A_T1_C,0.02,57.78,0.0345
A_T1_C,0.03,57.8,0.0345
A_T1_C,0.02,57.82,0.0345
A_T1_C,0.01,57.84,0.0345
A_T1_C,0.04,57.86,0.0345
A_T1_C,0.01,57.89,0.0345
A_T1_C,0.04,57.92,0.0345
A_T1_C,0.01,57.93,0.0345
A_T1_C,0.04,57.95,0.0345
A_T1_C,0.01,57.97,0.0345
A_T1_C,0.02,58,0.0345
A_T1_C,0.03,58.02,0.0345
A_T1_C,0.02,58.04,0.0345
A_T1_C,0.03,58.06,0.0345
A_T1_C,0.02,58.08,0.0345
A_T1_C,0.02,58.1,0.0345
A_T1_C,0.03,58.14,0.0345
A_T1_C,0.02,58.17,0.0345
A_T1_C,0.03,58.19,0.0345
A_T1_C,0.02,58.21,0.0345
A_T1_C,0.03,58.22,0.0345
A_T1_C,0.02,58.25,0.0345
A_T1_C,0.01,58.27,0.0345
A_T1_C,0.04,58.3,0.0345
A_T1_C,0.01,58.33,0.0345
A_T1_C,0.04,58.34,0.0345
A_T1_C,0.01,58.38,0.0345
A_T1_C,0.04,58.4,0.0345
A_T1_C,0.01,58.42,0.0345
A_T1_C,0.02,58.44,0.0345
A_T1_C,0.03,58.46,0.0345
A_T1_C,0.02,58.49,0.0345
A_T1_C,0.03,58.5,0.0345
A_T1_C,0.02,58.53,0.0345
A_T1_C,0.03,58.55,0.0345
A_T1_C,0.02,58.59,0.0345
A_T1_C,0.02,58.6,0.0345
A_T1_C,0.03,58.62,0.0345
A_T1_C,0.02,58.65,0.0345
A_T1_C,0.03,58.66,0.0345
A_T1_C,0.02,58.69,0.0345
A_T1_C,0.03,58.7,0.0345
A_T1_C,0.02,58.72,0.0345
A_T1_C,0.01,58.74,0.0345
A_T1_C,0.04,58.78,0.0345
A_T1_C,0.01,58.8,0.0345
A_T1_C,0.04,58.82,0.0345
A_T1_C,0.01,58.84,0.0345
A_T1_C,0.04,58.87,0.0345
A_T1_C,0.01,58.89,0.0345
A_T1_C,0.02,58.9,0.0345
A_T1_C,0.03,58.93,0.0345
A_T1_C,0.02,58.94,0.0345
A_T1_C,0.03,58.97,0.0345
A_T1_C,0.02,58.99,0.0345
A_T1_C,0.03,59.01,0.0345
A_T1_C,0.02,59.02,0.0345
A_T1_C,0.02,59.05,0.0345
A_T1_C,0.03,59.07,0.0345
A_T1_C,0.02,59.1,0.0345
A_T1_C,0.03,59.11,0.0345
A_T1_C,0.02,59.12,0.0345
A_T1_C,0.03,59.15,0.0345
A_T1_C,0.02,59.18,0.0345
A_T1_C,0.01,59.19,0.0345
A_T1_C,0.04,59.22,0.0345
A_T1_C,0.01,59.24,0.0345
A_T1_C,0.04,59.26,0.0345
A_T1_C,0.01,59.27,0.0345
A_T1_C,0.04,59.29,0.0345
A_T1_C,0.01,59.31,0.0345
A_T1_C,0.02,59.33,0.0345
A_T1_C,0.03,59.35,0.0345
A_T1_C,0.02,59.37,0.0345
A_T1_C,0.03,59.4,0.0345
A_T1_C,0.02,59.41,0.0345
A_T1_C,0.03,59.45,0.0345
A_T1_C,0.02,59.46,0.0345
A_T1_C,0.03,59.48,0.0345
A_T1_C,0.02,59.5,0.0345
A_T1_C,0.02,59.52,0.0345
A_T1_C,0.03,59.54,0.0345
A_T1_C,0.02,59.56,0.0345
A_T1_C,0.03,59.57,0.0345
A_T1_C,0.02,59.6,0.0345
A_T1_C,0.01,59.61,0.0345
A_T1_C,0.04,59.64,0.0345
A_T1_C,0.01,59.64,0.0345
A_T1_C,0.04,59.67,0.0345
A_T1_C,0.01,59.68,0.0345
A_T1_C,0.04,59.72,0.0345
A_T1_C,0.01,59.73,0.0345
A_T1_C,0.02,59.75,0.0345
A_T1_C,0.03,59.75,0.0345
A_T1_C,0.02,59.77,0.0345
A_T1_C,0.03,59.8,0.0345
A_T1_C,0.02,59.82,0.0345
A_T1_C,0.02,59.84,0.0345
A_T1_C,0.03,59.86,0.0345
A_T1_C,0.02,59.87,0.0345
A_T1_C,0.03,59.9,0.0345
A_T1_C,0.02,59.91,0.0345
A_T1_C,0.01,59.93,0.0345
A_T1_C,0.04,59.94,0.0345
A_T1_C,0.01,59.95,0.0345
A_T1_C,0.04,59.98,0.0345
A_T1_C,0.01,60,0.0345
A_T1_C,0.02,60.01,0.0345
A_T1_C,0.03,60.02,0.0345
A_T1_C,0.02,60.04,0.0345
A_T1_C,0.03,60.06,0.0345
A_T1_C,0.02,60.09,0.0345
A_T1_C,0.02,60.11,0.0345
A_T1_C,0.03,60.13,0.0345
A_T1_C,0.02,60.13,0.0345
A_T1_C,0.03,60.16,0.0345
A_T1_C,0.02,60.18,0.0345
A_T1_C,0.01,60.19,0.0345
A_T1_C,0.04,60.21,0.0345
A_T1_C,0.01,60.23,0.0345
A_T1_C,0.04,60.25,0.0345
A_T1_C,0.01,60.26,0.0345
A_T1_C,0.02,60.28,0.0345
A_T1_C,0.03,60.3,0.0345
A_T1_C,0.02,60.31,0.0345
A_T1_C,0.03,60.33,0.0345
A_T1_C,0.02,60.35,0.0345
A_T1_C,0.03,60.36,0.0345
A_T1_C,0.02,60.37,0.0345
A_T1_C,0.02,60.36,0.0345
A_T1_C,0.03,60.32,0.0345
A_T1_C,0.02,60.29,0.0345
A_T1_C,0.03,60.25,0.0345
A_T1_C,0.02,60.2,0.0345
A_T1_C,0.01,60.15,0.0345
A_T1_C,0.04,60.38,0.0345
A_T1_C,0.01,60.53,0.0345
A_T1_C,0.04,60.52,0.0345
A_T1_C,0.01,60.45,0.0345
A_T1_C,0.02,60.33,0.0345
A_T1_C,0.03,60.22,0.0345
A_T1_C,0.02,60.09,0.0345
A_T1_C,0.03,59.95,0.0345
A_T1_C,0.02,59.81,0.0345
A_T1_C,0.02,59.69,0.0345
A_T1_C,0.03,59.56,0.0345
A_T1_C,0.02,59.42,0.0345
A_T1_C,0.03,59.3,0.0345
A_T1_C,0.02,59.18,0.0345
A_T1_C,0.01,59.05,0.0345
A_T1_C,0.04,58.92,0.0345
A_T1_C,0.01,58.8,0.0345
A_T1_C,0.04,58.67,0.0345
A_T1_C,0.01,58.56,0.0345
A_T1_C,0.02,58.43,0.0345
A_T1_C,0.03,58.3,0.0345
A_T1_C,0.02,58.17,0.0345
A_T1_C,0.03,58.05,0.0345
A_T1_C,0.02,57.93,0.0345
A_T1_C,0.02,57.81,0.0345
A_T1_C,0.03,57.68,0.0345
A_T1_C,0.02,57.56,0.0345
A_T1_C,0.03,57.44,0.0345
A_T1_C,0.02,57.32,0.0345
A_T1_C,0.03,57.19,0.0345
A_T1_C,0.02,57.07,0.0345
A_T1_C,0.01,56.93,0.0345
A_T1_C,0.04,56.82,0.0345
A_T1_C,0.01,56.69,0.0345
A_T1_C,0.04,56.57,0.0345
A_T1_C,0.01,56.45,0.0345
A_T1_C,0.02,56.34,0.0345
A_T1_C,0.03,56.2,0.0345
A_T1_C,0.02,56.08,0.0345
A_T1_C,0.03,55.96,0.0345
A_T1_C,0.02,55.84,0.0345
A_T1_C,0.02,55.72,0.0345
A_T1_C,0.03,55.6,0.0345
A_T1_C,0.02,55.47,0.0345
A_T1_C,0.03,55.36,0.0345
A_T1_C,0.02,55.25,0.0345
A_T1_C,0.01,55.13,0.0345
A_T1_C,0.04,55.02,0.0345
A_T1_C,0.01,54.89,0.0345
A_T1_C,0.04,54.77,0.0345
A_T1_C,0.01,54.66,0.0345
A_T1_C,0.02,54.53,0.0345
A_T1_C,0.03,54.42,0.0345
A_T1_C,0.02,54.31,0.0345
A_T1_C,0.03,54.2,0.0345
A_T1_C,0.02,54.07,0.0345
A_T1_C,0.02,53.96,0.0345
A_T1_C,0.03,53.85,0.0345
A_T1_C,0.02,53.74,0.0345
A_T1_C,0.03,53.62,0.0345
A_T1_C,0.02,53.52,0.0345
A_T1_C,0.01,53.4,0.0345
A_T1_C,0.04,53.29,0.0345
A_T1_C,0.01,53.18,0.0345
A_T1_C,0.04,53.07,0.0345
A_T1_C,0.01,52.97,0.0345
A_T1_C,0.04,52.84,0.0345
A_T1_C,0.01,52.75,0.0345
A_T1_C,0.02,52.64,0.0345
A_T1_C,0.03,52.54,0.0345
A_T1_C,0.02,52.43,0.0345
A_T2_C,0,27.18,0.0345
A_T2_C,0.03,27.33,0.0345
A_T2_C,0.02,27.48,0.0345
A_T2_C,0.02,27.6,0.0345
A_T2_C,0.03,27.71,0.0345
A_T2_C,0.02,27.84,0.0345
A_T2_C,0.01,27.95,0.0345
A_T2_C,0.04,28.05,0.0345
A_T2_C,0.01,28.14,0.0345
A_T2_C,0.04,28.26,0.0345
A_T2_C,0.01,28.36,0.0345
A_T2_C,0.02,28.44,0.0345
A_T2_C,0.03,28.52,0.0345
A_T2_C,0.02,28.61,0.0345
A_T2_C,0.03,28.68,0.0345
A_T2_C,0.02,28.77,0.0345
A_T2_C,0.02,28.84,0.0345
A_T2_C,0.03,28.91,0.0345
A_T2_C,0.02,28.98,0.0345
A_T2_C,0.03,29.06,0.0345
A_T2_C,0.02,29.13,0.0345
A_T2_C,0.01,29.2,0.0345
A_T2_C,0.04,29.27,0.0345
A_T2_C,0.01,29.33,0.0345
A_T2_C,0.04,29.4,0.0345
A_T2_C,0.01,29.46,0.0345
A_T2_C,0.02,29.53,0.0345
A_T2_C,0.03,29.59,0.0345
A_T2_C,0.02,29.64,0.0345
A_T2_C,0.02,29.73,0.0345
A_T2_C,0.03,29.78,0.0345
A_T2_C,0.02,29.83,0.0345
A_T2_C,0.03,29.91,0.0345
A_T2_C,0.02,29.95,0.0345
A_T2_C,0.01,30.01,0.0345
A_T2_C,0.04,30.08,0.0345
A_T2_C,0.01,30.14,0.0345
A_T2_C,0.04,30.18,0.0345
A_T2_C,0.01,30.24,0.0345
A_T2_C,0.02,30.31,0.0345
A_T2_C,0.03,30.36,0.0345
A_T2_C,0.02,30.42,0.0345
A_T2_C,0.03,30.49,0.0345
A_T2_C,0.02,30.54,0.0345
A_T2_C,0.02,30.59,0.0345
A_T2_C,0.03,30.65,0.0345
A_T2_C,0.02,30.7,0.0345
A_T2_C,0.03,30.75,0.0345
A_T2_C,0.02,30.81,0.0345
A_T2_C,0.01,30.88,0.0345
A_T2_C,0.04,30.94,0.0345
A_T2_C,0.01,30.99,0.0345
A_T2_C,0.04,31.04,0.0345
A_T2_C,0.01,31.11,0.0345
A_T2_C,0.02,31.17,0.0345
A_T2_C,0.03,31.22,0.0345
A_T2_C,0.02,31.26,0.0345
A_T2_C,0.03,31.32,0.0345
A_T2_C,0.02,31.38,0.0345
A_T2_C,0.02,31.45,0.0345
A_T2_C,0.03,31.49,0.0345
A_T2_C,0.02,31.54,0.0345
A_T2_C,0.03,31.6,0.0345
A_T2_C,0.02,31.66,0.0345
A_T2_C,0.01,31.71,0.0345
A_T2_C,0.04,31.77,0.0345
A_T2_C,0.01,31.83,0.0345
A_T2_C,0.04,31.88,0.0345
A_T2_C,0.01,31.93,0.0345
A_T2_C,0.02,31.99,0.0345
A_T2_C,0.03,32.05,0.0345
A_T2_C,0.02,32.1,0.0345
A_T2_C,0.03,32.17,0.0345
A_T2_C,0.02,32.22,0.0345
A_T2_C,0.02,32.27,0.0345
A_T2_C,0.03,32.33,0.0345
A_T2_C,0.02,32.38,0.0345
A_T2_C,0.03,32.43,0.0345
A_T2_C,0.02,32.49,0.0345
A_T2_C,0.01,32.53,0.0345
A_T2_C,0.04,32.6,0.0345
A_T2_C,0.01,32.66,0.0345
A_T2_C,0.04,32.71,0.0345
A_T2_C,0.01,32.77,0.0345
A_T2_C,0.02,32.82,0.0345
A_T2_C,0.03,32.88,0.0345
A_T2_C,0.02,32.93,0.0345
A_T2_C,0.03,32.99,0.0345
A_T2_C,0.02,33.04,0.0345
A_T2_C,0.02,33.1,0.0345
A_T2_C,0.03,33.16,0.0345
A_T2_C,0.02,33.22,0.0345
A_T2_C,0.03,33.27,0.0345
A_T2_C,0.02,33.34,0.0345
A_T2_C,0.03,33.39,0.0345
A_T2_C,0.02,33.44,0.0345
A_T2_C,0.01,33.51,0.0345
A_T2_C,0.04,33.57,0.0345
A_T2_C,0.01,33.63,0.0345
A_T2_C,0.04,33.69,0.0345
A_T2_C,0.01,33.75,0.0345
A_T2_C,0.02,33.8,0.0345
A_T2_C,0.03,33.87,0.0345
A_T2_C,0.02,33.92,0.0345
A_T2_C,0.03,33.99,0.0345
A_T2_C,0.02,34.05,0.0345
A_T2_C,0.02,34.11,0.0345
A_T2_C,0.03,34.16,0.0345
A_T2_C,0.02,34.21,0.0345
A_T2_C,0.03,34.28,0.0345
A_T2_C,0.02,34.35,0.0345
A_T2_C,0.01,34.41,0.0345
A_T2_C,0.04,34.48,0.0345
A_T2_C,0.01,34.53,0.0345
A_T2_C,0.04,34.59,0.0345
A_T2_C,0.01,34.66,0.0345
A_T2_C,0.04,34.72,0.0345
A_T2_C,0.01,34.77,0.0345
A_T2_C,0.02,34.85,0.0345
A_T2_C,0.03,34.91,0.0345
A_T2_C,0.02,34.98,0.0345
A_T2_C,0.03,35.04,0.0345
A_T2_C,0.02,35.1,0.0345
A_T2_C,0.03,35.16,0.0345
A_T2_C,0.02,35.23,0.0345
A_T2_C,0.02,35.29,0.0345
A_T2_C,0.03,35.35,0.0345
A_T2_C,0.02,35.42,0.0345
A_T2_C,0.03,35.47,0.0345
A_T2_C,0.02,35.53,0.0345
A_T2_C,0.01,35.61,0.0345
A_T2_C,0.04,35.66,0.0345
A_T2_C,0.01,35.73,0.0345
A_T2_C,0.04,35.8,0.0345
A_T2_C,0.01,35.85,0.0345
A_T2_C,0.04,35.92,0.0345
A_T2_C,0.01,36,0.0345
A_T2_C,0.02,36.07,0.0345
A_T2_C,0.03,36.12,0.0345
A_T2_C,0.02,36.19,0.0345
A_T2_C,0.03,36.25,0.0345
A_T2_C,0.02,36.32,0.0345
A_T2_C,0.02,36.39,0.0345
A_T2_C,0.03,36.46,0.0345
A_T2_C,0.02,36.52,0.0345
A_T2_C,0.03,36.59,0.0345
A_T2_C,0.02,36.65,0.0345
A_T2_C,0.01,36.71,0.0345
A_T2_C,0.04,36.78,0.0345
A_T2_C,0.01,36.83,0.0345
A_T2_C,0.04,36.91,0.0345
A_T2_C,0.01,36.97,0.0345
A_T2_C,0.02,37.03,0.0345
A_T2_C,0.03,37.1,0.0345
A_T2_C,0.02,37.17,0.0345
A_T2_C,0.03,37.22,0.0345
A_T2_C,0.02,37.3,0.0345
A_T2_C,0.02,37.37,0.0345
A_T2_C,0.03,37.44,0.0345
A_T2_C,0.02,37.51,0.0345
A_T2_C,0.03,37.58,0.0345
A_T2_C,0.02,37.64,0.0345
A_T2_C,0.03,37.71,0.0345
A_T2_C,0.02,37.77,0.0345
A_T2_C,0.01,37.83,0.0345
A_T2_C,0.04,37.9,0.0345
A_T2_C,0.01,37.97,0.0345
A_T2_C,0.04,38.03,0.0345
A_T2_C,0.01,38.11,0.0345
A_T2_C,0.04,38.16,0.0345
A_T2_C,0.01,38.24,0.0345
A_T2_C,0.02,38.31,0.0345
A_T2_C,0.03,38.36,0.0345
A_T2_C,0.02,38.45,0.0345
A_T2_C,0.03,38.51,0.0345
A_T2_C,0.02,38.57,0.0345
A_T2_C,0.03,38.65,0.0345
A_T2_C,0.02,38.71,0.0345
A_T2_C,0.02,38.78,0.0345
A_T2_C,0.03,38.85,0.0345
A_T2_C,0.02,38.92,0.0345
A_T2_C,0.03,39,0.0345
A_T2_C,0.02,39.06,0.0345
A_T2_C,0.03,39.13,0.0345
A_T2_C,0.02,39.19,0.0345
A_T2_C,0.01,39.25,0.0345
A_T2_C,0.04,39.32,0.0345
A_T2_C,0.01,39.4,0.0345
A_T2_C,0.04,39.46,0.0345
A_T2_C,0.01,39.53,0.0345
A_T2_C,0.04,39.59,0.0345
A_T2_C,0.01,39.66,0.0345
A_T2_C,0.02,39.72,0.0345
A_T2_C,0.03,39.79,0.0345
A_T2_C,0.02,39.86,0.0345
A_T2_C,0.03,39.92,0.0345
A_T2_C,0.02,40,0.0345
A_T2_C,0.02,40.07,0.0345
A_T2_C,0.03,40.14,0.0345
A_T2_C,0.02,40.21,0.0345
A_T2_C,0.03,40.27,0.0345
A_T2_C,0.02,40.35,0.0345
A_T2_C,0.03,40.4,0.0345
A_T2_C,0.02,40.47,0.0345
A_T2_C,0.01,40.54,0.0345
A_T2_C,0.04,40.62,0.0345
A_T2_C,0.01,40.68,0.0345
A_T2_C,0.04,40.74,0.0345
A_T2_C,0.01,40.8,0.0345
A_T2_C,0.04,40.89,0.0345
A_T2_C,0.01,40.95,0.0345
A_T2_C,0.02,41.01,0.0345
A_T2_C,0.03,41.08,0.0345
A_T2_C,0.02,41.14,0.0345
A_T2_C,0.03,41.2,0.0345
A_T2_C,0.02,41.29,0.0345
A_T2_C,0.03,41.35,0.0345
A_T2_C,0.02,41.42,0.0345
A_T2_C,0.02,41.48,0.0345
A_T2_C,0.03,41.56,0.0345
A_T2_C,0.02,41.61,0.0345
A_T2_C,0.03,41.69,0.0345
A_T2_C,0.02,41.76,0.0345
A_T2_C,0.03,41.8,0.0345
A_T2_C,0.02,41.88,0.0345
A_T2_C,0.01,41.95,0.0345
A_T2_C,0.04,42.01,0.0345
A_T2_C,0.01,42.08,0.0345
A_T2_C,0.04,42.14,0.0345
A_T2_C,0.01,42.21,0.0345
A_T2_C,0.04,42.27,0.0345
A_T2_C,0.01,42.34,0.0345
A_T2_C,0.02,42.41,0.0345
A_T2_C,0.03,42.47,0.0345
A_T2_C,0.02,42.54,0.0345
A_T2_C,0.03,42.6,0.0345
A_T2_C,0.02,42.66,0.0345
A_T2_C,0.02,42.73,0.0345
A_T2_C,0.03,42.79,0.0345
A_T2_C,0.02,42.86,0.0345
A_T2_C,0.03,42.92,0.0345
A_T2_C,0.02,42.99,0.0345
A_T2_C,0.01,43.04,0.0345
A_T2_C,0.04,43.11,0.0345
A_T2_C,0.01,43.17,0.0345
A_T2_C,0.04,43.25,0.0345
A_T2_C,0.01,43.31,0.0345
A_T2_C,0.04,43.37,0.0345
A_T2_C,0.01,43.43,0.0345
A_T2_C,0.02,43.49,0.0345
A_T2_C,0.03,43.55,0.0345
A_T2_C,0.02,43.63,0.0345
A_T2_C,0.03,43.68,0.0345
A_T2_C,0.02,43.75,0.0345
A_T2_C,0.02,43.81,0.0345
A_T2_C,0.03,43.87,0.0345
A_T2_C,0.02,43.95,0.0345
A_T2_C,0.03,44.01,0.0345
A_T2_C,0.02,44.07,0.0345
A_T2_C,0.03,44.14,0.0345
A_T2_C,0.02,44.21,0.0345
A_T2_C,0.01,44.26,0.0345
A_T2_C,0.04,44.33,0.0345
A_T2_C,0.01,44.38,0.0345
A_T2_C,0.04,44.44,0.0345
A_T2_C,0.01,44.51,0.0345
A_T2_C,0.02,44.57,0.0345
A_T2_C,0.03,44.63,0.0345
A_T2_C,0.02,44.69,0.0345
A_T2_C,0.03,44.75,0.0345
A_T2_C,0.02,44.81,0.0345
A_T2_C,0.02,44.88,0.0345
A_T2_C,0.03,44.94,0.0345
A_T2_C,0.02,45,0.0345
A_T2_C,0.03,45.07,0.0345
A_T2_C,0.02,45.11,0.0345
A_T2_C,0.03,45.18,0.0345
A_T2_C,0.02,45.25,0.0345
A_T2_C,0.01,45.3,0.0345
A_T2_C,0.04,45.36,0.0345
A_T2_C,0.01,45.43,0.0345
A_T2_C,0.04,45.5,0.0345
A_T2_C,0.01,45.55,0.0345
A_T2_C,0.04,45.59,0.0345
A_T2_C,0.01,45.67,0.0345
A_T2_C,0.02,45.73,0.0345
A_T2_C,0.03,45.78,0.0345
A_T2_C,0.02,45.86,0.0345
A_T2_C,0.03,45.92,0.0345
A_T2_C,0.02,45.96,0.0345
A_T2_C,0.02,46.04,0.0345
A_T2_C,0.03,46.09,0.0345
A_T2_C,0.02,46.15,0.0345
A_T2_C,0.03,46.22,0.0345
A_T2_C,0.02,46.28,0.0345
A_T2_C,0.03,46.33,0.0345
A_T2_C,0.02,46.39,0.0345
A_T2_C,0.01,46.44,0.0345
A_T2_C,0.04,46.51,0.0345
A_T2_C,0.01,46.57,0.0345
A_T2_C,0.04,46.62,0.0345
A_T2_C,0.01,46.68,0.0345
A_T2_C,0.02,46.74,0.0345
A_T2_C,0.03,46.8,0.0345
A_T2_C,0.02,46.87,0.0345
A_T2_C,0.03,46.92,0.0345
A_T2_C,0.02,46.98,0.0345
A_T2_C,0.03,47.03,0.0345
A_T2_C,0.02,47.09,0.0345
A_T2_C,0.02,47.15,0.0345
A_T2_C,0.03,47.21,0.0345
A_T2_C,0.02,47.26,0.0345
A_T2_C,0.03,47.33,0.0345
A_T2_C,0.02,47.38,0.0345
A_T2_C,0.03,47.44,0.0345
A_T2_C,0.02,47.49,0.0345
A_T2_C,0.01,47.55,0.0345
A_T2_C,0.04,47.6,0.0345
A_T2_C,0.01,47.67,0.0345
A_T2_C,0.04,47.72,0.0345
A_T2_C,0.01,47.77,0.0345
A_T2_C,0.04,47.83,0.0345
A_T2_C,0.01,47.89,0.0345
A_T2_C,0.02,47.94,0.0345
A_T2_C,0.03,47.99,0.0345
A_T2_C,0.02,48.06,0.0345
A_T2_C,0.03,48.12,0.0345
A_T2_C,0.02,48.18,0.0345
A_T2_C,0.03,48.22,0.0345
A_T2_C,0.02,48.28,0.0345
A_T2_C,0.02,48.34,0.0345
A_T2_C,0.03,48.39,0.0345
A_T2_C,0.02,48.46,0.0345
A_T2_C,0.03,48.51,0.0345
A_T2_C,0.02,48.55,0.0345
A_T2_C,0.01,48.6,0.0345
A_T2_C,0.04,48.66,0.0345
A_T2_C,0.01,48.71,0.0345
A_T2_C,0.04,48.77,0.0345
A_T2_C,0.01,48.82,0.0345
A_T2_C,0.04,48.88,0.0345
A_T2_C,0.01,48.94,0.0345
A_T2_C,0.02,48.98,0.0345
A_T2_C,0.03,49.03,0.0345
A_T2_C,0.02,49.09,0.0345
A_T2_C,0.03,49.13,0.0345
A_T2_C,0.02,49.19,0.0345
A_T2_C,0.02,49.24,0.0345
A_T2_C,0.03,49.31,0.0345
A_T2_C,0.02,49.36,0.0345
A_T2_C,0.03,49.41,0.0345
A_T2_C,0.02,49.47,0.0345
A_T2_C,0.03,49.51,0.0345
A_T2_C,0.02,49.57,0.0345
A_T2_C,0.01,49.62,0.0345
A_T2_C,0.04,49.67,0.0345
A_T2_C,0.01,49.71,0.0345
A_T2_C,0.04,49.77,0.0345
A_T2_C,0.01,49.83,0.0345
A_T2_C,0.02,49.87,0.0345
A_T2_C,0.03,49.92,0.0345
A_T2_C,0.02,49.97,0.0345
A_T2_C,0.03,50.02,0.0345
A_T2_C,0.02,50.08,0.0345
A_T2_C,0.02,50.12,0.0345
A_T2_C,0.03,50.17,0.0345
A_T2_C,0.02,50.23,0.0345
A_T2_C,0.03,50.27,0.0345
A_T2_C,0.02,50.32,0.0345
A_T2_C,0.01,50.37,0.0345
A_T2_C,0.04,50.41,0.0345
A_T2_C,0.01,50.47,0.0345
A_T2_C,0.02,50.52,0.0345
A_T2_C,0.03,50.56,0.0345
A_T2_C,0.02,50.61,0.0345
A_T2_C,0.03,50.67,0.0345
A_T2_C,0.02,50.72,0.0345
A_T2_C,0.02,50.76,0.0345
A_T2_C,0.03,50.81,0.0345
A_T2_C,0.02,50.86,0.0345
A_T2_C,0.03,50.9,0.0345
A_T2_C,0.02,50.95,0.0345
A_T2_C,0.03,51,0.0345
A_T2_C,0.02,51.04,0.0345
A_T2_C,0.01,51.08,0.0345
A_T2_C,0.04,51.14,0.0345
A_T2_C,0.01,51.19,0.0345
A_T2_C,0.04,51.23,0.0345
A_T2_C,0.01,51.28,0.0345
A_T2_C,0.04,51.33,0.0345
A_T2_C,0.01,51.38,0.0345
A_T2_C,0.02,51.43,0.0345
A_T2_C,0.03,51.48,0.0345
A_T2_C,0.02,51.53,0.0345
A_T2_C,0.03,51.57,0.0345
A_T2_C,0.02,51.61,0.0345
A_T2_C,0.03,51.66,0.0345
A_T2_C,0.02,51.71,0.0345
A_T2_C,0.02,51.76,0.0345
A_T2_C,0.03,51.81,0.0345
A_T2_C,0.02,51.85,0.0345
A_T2_C,0.03,51.9,0.0345
A_T2_C,0.02,51.95,0.0345
A_T2_C,0.03,51.99,0.0345
A_T2_C,0.02,52.04,0.0345
A_T2_C,0.01,52.08,0.0345
A_T2_C,0.04,52.14,0.0345
A_T2_C,0.01,52.17,0.0345
A_T2_C,0.04,52.21,0.0345
A_T2_C,0.01,52.26,0.0345
A_T2_C,0.02,52.31,0.0345
A_T2_C,0.03,52.35,0.0345
A_T2_C,0.02,52.39,0.0345
A_T2_C,0.03,52.45,0.0345
A_T2_C,0.02,52.49,0.0345
A_T2_C,0.03,52.54,0.0345
A_T2_C,0.02,52.58,0.0345
A_T2_C,0.02,52.62,0.0345
A_T2_C,0.03,52.66,0.0345
A_T2_C,0.02,52.71,0.0345
A_T2_C,0.03,52.76,0.0345
A_T2_C,0.02,52.8,0.0345
A_T2_C,0.03,52.85,0.0345
A_T2_C,0.02,52.89,0.0345
A_T2_C,0.03,52.93,0.0345
A_T2_C,0.02,52.96,0.0345
A_T2_C,0.03,53.02,0.0345
A_T2_C,0.02,53.06,0.0345
A_T2_C,0.01,53.1,0.0345
A_T2_C,0.04,53.15,0.0345
A_T2_C,0.01,53.19,0.0345
A_T2_C,0.04,53.24,0.0345
A_T2_C,0.01,53.29,0.0345
A_T2_C,0.02,53.33,0.0345
A_T2_C,0.03,53.38,0.0345
A_T2_C,0.02,53.42,0.0345
A_T2_C,0.03,53.46,0.0345
A_T2_C,0.02,53.5,0.0345
A_T2_C,0.03,53.54,0.0345
A_T2_C,0.02,53.59,0.0345
A_T2_C,0.02,53.62,0.0345
A_T2_C,0.03,53.67,0.0345
A_T2_C,0.02,53.71,0.0345
A_T2_C,0.03,53.76,0.0345
A_T2_C,0.02,53.8,0.0345
A_T2_C,0.01,53.84,0.0345
A_T2_C,0.04,53.87,0.0345
A_T2_C,0.01,53.91,0.0345
